Elapsed s, Pressure dBar, Conductivity S/m, Temperature degC, Density SG, Sound Speed m/s
2654,2015.059936,3.16146,2.3083,1.036919116,1492.322563
2664,2022.291015,3.16067,2.2781,1.03697061,1492.33821
2675,2029.597045,3.16031,2.296,1.036979915,1492.503025
2685,2036.817993,3.1599,2.2714,1.037029571,1492.541085
2695,2044.899047,3.1596,2.2555,1.037075397,1492.620351
2705,2052.301025,3.15926,2.2449,1.037112903,1492.703529
2715,2059.606933,3.15884,2.2608,1.03712355,1492.861591
2726,2066.941894,3.15809,2.2414,1.037165378,1492.911238
2736,2074.979003,3.15703,2.2138,1.037215081,1492.94314
2746,2082.167968,3.15649,2.1801,1.03727221,1492.951829
2756,2089.373046,3.15588,2.2085,1.037268459,1493.141961
2766,2096.679199,3.15528,2.1788,1.037321599,1493.163313
2776,2104.520996,3.15467,2.17,1.037356567,1493.254554
2787,2111.76416,3.15401,2.156,1.037393637,1493.320013
2797,2119.080078,3.15333,2.1732,1.037400531,1493.478015
2807,2126.410888,3.15267,2.1535,1.037443484,1493.528161
2817,2134.397949,3.15182,2.1459,1.037475572,1493.621415
2827,2141.441894,3.15153,2.1207,1.037526236,1493.656758
2837,2148.749023,3.15124,2.1084,1.037565461,1493.734304
2848,2155.955078,3.1511,2.1227,1.037579873,1493.890908
2858,2163.920898,3.15089,2.0881,1.037644236,1493.914865
2868,2171.10205,3.15076,2.0801,1.037680299,1494.005658
2878,2178.37207,3.15023,2.0866,1.037698789,1494.134041
2888,2185.480957,3.14956,2.0928,1.037715567,1494.256666
2898,2193.462158,3.14918,2.071,1.037765917,1494.315777
2909,2200.755859,3.14871,2.0405,1.037821045,1494.336646
2919,2207.829101,3.14816,2.0655,1.037820535,1494.516051
2929,2215.052978,3.14782,2.0521,1.037859989,1494.588276
2939,2222.979003,3.14751,2.0348,1.03790641,1494.660906
2949,2230.192871,3.14738,2.044,1.037925868,1494.802988
2959,2237.466064,3.14711,2.0274,1.037969304,1494.867758
2970,2244.60791,3.14678,2.0126,1.038009877,1494.934722
2980,2252.469238,3.14663,2.0026,1.038050467,1495.030466
2990,2259.605957,3.14653,2.0092,1.038072407,1495.164194
3000,2266.598144,3.14636,2.0077,1.038100958,1495.270574
3010,2274.034912,3.14616,1.9663,1.038169884,1495.266087
3021,2281.801025,3.14573,1.9922,1.038172433,1495.461583
3031,2288.96997,3.14553,1.9666,1.038224873,1495.49933
3041,2296.295898,3.1453,1.9696,1.038249826,1495.623472
3051,2303.472167,3.14505,1.9618,1.038284485,1495.713022
3061,2310.819824,3.14497,1.9658,1.038309992,1495.842956
3071,2318.634033,3.14476,1.9511,1.038354368,1495.923209
3082,2325.630859,3.1447,1.963,1.038370929,1496.071102
3092,2332.708007,3.1445,1.949,1.038411688,1496.141624
